,Agree,Disagree,Pass,Difference from First Group,Difference from Second Group,Average Difference
0,80.0,20.0,0.0,19.285714285714292,0.0,9.642857142857146
1,95.0,5.0,0.0,-5.0,3.0,4.0
2,50.0,45.0,5.0,-42.85714285714286,-46.0,44.42857142857143
3,70.0,30.0,0.0,-19.285714285714292,38.0,28.642857142857146
4,70.0,30.0,0.0,-26.42857142857143,-22.0,24.214285714285715
5,45.0,55.00000000000001,0.0,34.285714285714285,-11.000000000000007,22.642857142857146
6,35.0,65.0,0.0,-25.714285714285708,-37.0,31.357142857142854
7,30.0,65.0,5.0,-70.0,-62.0,66.0
8,95.0,5.0,0.0,80.71428571428572,11.0,45.85714285714286
9,40.0,60.0,0.0,11.42857142857143,40.0,25.714285714285715
10,60.0,35.0,5.0,-36.42857142857143,-32.0,34.214285714285715
11,50.0,50.0,0.0,-32.14285714285714,6.0,19.07142857142857
12,75.0,25.0,0.0,60.714285714285715,51.0,55.85714285714286
13,60.0,40.0,0.0,-22.14285714285714,20.0,21.07142857142857
14,80.0,20.0,0.0,19.285714285714292,40.0,29.642857142857146
15,30.0,70.0,0.0,-5.714285714285715,-34.0,19.857142857142858
