,Pass,Agree,Disagree
0,0.0,3.571428571428571,0.0
1,3.571428571428571,60.71428571428571,35.714285714285715
2,0.0,100.0,0.0
3,0.0,92.85714285714286,7.142857142857142
4,0.0,89.28571428571429,10.714285714285714
5,0.0,96.42857142857143,3.571428571428571
6,3.571428571428571,10.714285714285714,85.71428571428571
7,3.571428571428571,60.71428571428571,35.714285714285715
8,0.0,100.0,0.0
9,0.0,14.285714285714285,85.71428571428571
10,0.0,28.57142857142857,71.42857142857143
11,0.0,96.42857142857143,3.571428571428571
12,3.571428571428571,82.14285714285714,14.285714285714285
13,7.142857142857142,14.285714285714285,78.57142857142857
14,0.0,82.14285714285714,17.857142857142858
15,7.142857142857142,60.71428571428571,32.142857142857146
16,3.571428571428571,35.714285714285715,60.71428571428571
17,0.0,0.0,0.0
